cve_munedo,Periodo,confirmados,negativos,sospechoso,defuncion,activos,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados
1001,202001,0,4,0,0,0,0,0,0
1001,202002,0,4,0,0,0,0,0,0
1001,202003,45,313,0,1,0,37,1,45
1001,202004,208,1060,0,15,0,134,16,253
1001,202005,511,1493,6,57,0,244,73,764
1001,202006,1161,1452,8,110,0,346,183,1925
1001,202007,1259,2253,5,98,0,374,281,3184
1001,202008,1288,2714,188,83,246,430,364,4472
1001,202009,1,0,221,0,1,1,364,4473
1002,202003,1,5,0,0,0,0,0,1
1002,202004,1,8,0,0,0,1,0,2
1002,202005,7,21,0,0,0,5,0,9
1002,202006,21,34,0,3,0,7,3,30
1002,202007,42,46,0,3,0,16,6,72
1002,202008,17,49,3,0,4,4,6,89
1002,202009,0,0,2,0,0,0,6,89
1003,202003,0,5,0,0,0,0,0,0
1003,202004,9,52,0,0,0,9,0,9
1003,202005,2,60,1,0,0,0,0,11
1003,202006,25,25,0,2,0,12,2,36
1003,202007,89,46,0,1,0,18,3,125
1003,202008,17,46,0,2,4,5,5,142
1003,202009,0,0,5,0,0,0,5,142
1004,202002,0,1,0,0,0,0,0,0
1004,202003,0,1,0,0,0,0,0,0
1004,202004,0,20,0,0,0,0,0,0
1004,202005,17,15,1,0,0,10,0,17
1004,202006,25,11,0,0,0,1,0,42
1004,202007,25,16,0,0,0,11,0,67
1004,202008,17,18,0,1,1,4,1,84
1004,202009,0,0,4,0,0,0,1,84
1005,202001,0,2,0,0,0,0,0,0
1005,202002,0,2,0,0,0,0,0,0
1005,202003,1,28,0,0,0,1,0,1
1005,202004,12,60,0,0,0,6,0,13
1005,202005,20,137,0,2,0,10,2,33
1005,202006,42,99,0,1,0,18,3,75
1005,202007,66,151,4,4,0,20,7,141
1005,202008,63,200,36,0,10,19,7,204
1005,202009,0,0,22,0,0,0,7,204
1006,202003,5,9,0,0,0,5,0,5
1006,202004,6,32,0,0,0,6,0,11
1006,202005,25,65,0,3,0,14,3,36
1006,202006,57,46,0,3,0,20,6,93
1006,202007,70,39,0,2,0,27,8,163
1006,202008,37,53,11,2,4,13,10,200
1006,202009,0,0,2,0,0,0,10,200
1007,202003,1,3,0,0,0,1,0,1
1007,202004,8,64,0,0,0,6,0,9
1007,202005,40,129,0,0,0,21,0,49
1007,202006,89,100,0,5,0,38,5,138
1007,202007,153,102,0,2,0,39,7,291
1007,202008,80,82,2,1,9,13,8,371
1007,202009,0,0,15,0,0,0,8,371
1008,202003,0,1,0,0,0,0,0,0
1008,202004,4,8,0,0,0,4,0,4
1008,202005,1,23,0,0,0,0,0,5
1008,202006,18,33,0,0,0,6,0,23
1008,202007,26,22,0,0,0,7,0,49
1008,202008,6,19,0,1,1,1,1,55
1009,202003,1,4,0,0,0,1,0,1
1009,202004,1,15,0,0,0,1,0,2
1009,202005,23,23,0,0,0,19,0,25
1009,202006,43,25,0,1,0,13,1,68
1009,202007,48,17,0,1,0,23,2,116
1009,202008,22,36,2,0,2,3,2,138
