cve_estado,Estado,CrecCartera2020,CrecCaptacion2020,poblacion,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados,Activos_100_mil_hab,Casos_100_mil_hab,Muertes_100_mil_casos
1.0,AGUASCALIENTES,-310.3200000000001,4187.129999999998,1434635.0,497.0,415.0,5833.0,34.642957964917905,406.58425313755765,7114.692268129607
2.0,BAJA CALIFORNIA NORTE,-1304.310000000001,19921.089999999997,3634868.0,637.0,3238.0,17151.0,17.524707912364356,471.8465704944444,18879.36563465687
3.0,BAJA CALIFORNIA SUR,-73.42999999999991,2066.1699999999983,804708.0,960.0,370.0,7872.0,119.29793167210964,978.243039711299,4700.20325203252
4.0,CAMPECHE,-378.2699999999999,2009.2699999999988,1000617.0,188.0,762.0,5634.0,18.788407552540082,563.0525965479299,13525.026624068156
5.0,COAHUILA,-1404.97,6231.880000000001,3218720.0,1963.0,1450.0,22209.0,60.98697618929264,689.9947805338768,6528.884686388402
6.0,COLIMA,-203.98,3242.4799999999996,785153.0,548.0,416.0,3834.0,69.7953137796073,488.31246903469764,10850.286906624935
7.0,CHIAPAS,-283.5700000000002,5816.509999999998,5730367.0,69.0,1059.0,6216.0,1.2041113597087238,108.47472770941198,17036.679536679538
8.0,CHIHUAHUA,-971.3300000000005,9747.55999999999,3801487.0,274.0,1171.0,8055.0,7.207705826693607,211.89076800736134,14537.554314090628
9.0,DISTRITO FEDERAL,-2499.499999999999,277670.84,9018645.0,7036.0,8586.0,101424.0,78.01615431142928,1124.6035296876637,8465.451964032181
10.0,DURANGO,-598.47,2194.8300000000017,1868996.0,776.0,469.0,6620.0,41.519618019514226,354.2008650633816,7084.592145015106
11.0,GUANAJUATO,-1044.62,-2.980000000007969,6228175.0,3368.0,2240.0,32864.0,54.076836312402904,527.666611808435,6815.9688412852975
12.0,GUERRERO,-251.4400000000002,3607.739999999998,3657048.0,870.0,1722.0,15140.0,23.789679544813193,413.99511299824337,11373.844121532364
13.0,HIDALGO,-840.6300000000002,3658.4000000000024,3086414.0,898.0,1626.0,10568.0,29.09525423355389,342.40383824075445,15386.071158213474
14.0,JALISCO,-1806.5899999999995,40846.50999999996,8409693.0,1904.0,2533.0,20876.0,22.640541099419444,248.2373613400632,12133.550488599349
15.0,MEXICO,-4392.489999999998,37385.27999999998,17427790.0,2918.0,10250.0,69424.0,16.74337365781892,398.35228677875966,14764.346623646003
16.0,MICHOACAN,-1236.35,18419.250000000025,4825401.0,1234.0,1262.0,15609.0,25.573004191775983,323.4757069930561,8085.079121019924
17.0,MORELOS,-607.5899999999997,3545.8899999999967,2044058.0,293.0,986.0,5274.0,14.334231220444822,258.01616196800677,18695.48729616989
18.0,NAYARIT,-304.5899999999998,3063.2699999999995,1288571.0,424.0,612.0,5085.0,32.904667263193105,394.6231911163607,12035.398230088495
19.0,NUEVO LEON,-3146.0099999999993,26900.630000000023,5610153.0,3352.0,2350.0,30093.0,59.74881611963168,536.4024831408342,7809.12504569169
20.0,OAXACA,-224.90000000000012,7772.150000000001,4110220.0,706.0,1251.0,13593.0,17.176696137919627,330.71222464977546,9203.266387111013
21.0,PUEBLA,-1023.8499999999988,14417.679999999998,6604451.0,1328.0,3558.0,27427.0,20.10765164280877,415.28054337900306,12972.618222919022
22.0,QUERETARO,-483.77999999999963,6822.069999999995,2279637.0,804.0,717.0,6644.0,35.26877305465739,291.4499106656016,10791.691751956652
23.0,QUINTANA ROO,-455.66999999999933,-4034.5899999999924,1723259.0,724.0,1428.0,10499.0,42.01341760002414,609.2525847826705,13601.295361462997
24.0,SAN LUIS POTOSI,-606.0000000000006,5824.199999999999,2814865.0,1370.0,1216.0,18627.0,48.670184893414074,661.7368861384116,6528.158050142266
25.0,SINALOA,-1132.8500000000004,26683.049999999996,3156674.0,720.0,2840.0,16411.0,22.808817128407938,519.8826359643092,17305.46584607885
26.0,SONORA,-1282.9999999999989,11986.310000000005,3074745.0,721.0,2643.0,21691.0,23.44909903097655,705.4568752855928,12184.777096491633
27.0,TABASCO,-1281.5099999999995,6604.280000000002,2572287.0,1283.0,2569.0,28665.0,49.877793574356204,1114.3779834831805,8962.148962148962
28.0,TAMAULIPAS,-1804.4000000000005,8198.980000000001,3650602.0,990.0,1820.0,24905.0,27.118814924223457,682.21624816948,7307.769524191929
29.0,TLAXCALA,-44.56999999999999,2208.8800000000006,1380011.0,384.0,990.0,6565.0,27.825865156147305,475.7208457034038,15079.96953541508
30.0,VERACRUZ,-2380.4900000000007,21278.969999999983,8539862.0,1283.0,3804.0,28878.0,15.023661974865636,338.15534724097415,13172.657386245584
31.0,YUCATAN,-766.5699999999998,5846.720000000004,2259098.0,1515.0,1322.0,15114.0,67.06216374854034,669.0280811191016,8746.85721847294
32.0,ZACATECAS,-219.11000000000004,2873.6600000000017,1666426.0,736.0,526.0,5445.0,44.16637762492904,326.7471822931231,9660.238751147843
