cve_municipio,Municipio,cve_estado,Estado,CaptacionFeb20,CaptacionAgo20,CrecCaptacion2020,VarCaptacion2020,CarteraFeb20,CarteraAgo20,CrecCartera2020,VarCartera2020,poblacion,defuncionesAgo20,defuncionesTotales20,confirmadosAgo20,confirmadosTotales20,confirmados,negativos,sospechoso,defuncion,activos,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados,Activos_100_mil_hab,Casos_100_mil_hab,Muertes_100_mil_casos
1001.0,AGUASCALIENTES,1.0,AGUASCALIENTES,61261.62,65114.11,3852.489999999998,6.288586557129894,5444.55,5193.59,-250.96000000000004,-4.609380022224063,961977.0,388.0,854.0,4568.0,8969.0,1288.0,2714.0,188.0,83.0,246.0,430.0,364.0,4472.0,44.69961340032038,464.8759793633319,8139.534883720931
1002.0,ASIENTOS,1.0,AGUASCALIENTES,0.58,0.5,-0.07999999999999996,-13.793103448275856,84.46,83.01,-1.4499999999999886,-1.7167890125503016,50864.0,6.0,10.0,89.0,165.0,17.0,49.0,3.0,0.0,4.0,4.0,6.0,89.0,7.864108210128971,174.97640767536961,6741.573033707865
1003.0,CALVILLO,1.0,AGUASCALIENTES,1101.8,1273.56,171.76,15.5890361227083,112.28,105.72,-6.560000000000002,-5.842536515853225,60760.0,5.0,10.0,143.0,307.0,17.0,46.0,0.0,2.0,4.0,5.0,5.0,142.0,8.229098090849243,233.7063857801185,3521.1267605633802
1004.0,COSIO,1.0,AGUASCALIENTES,0.08,0.09,0.009999999999999995,12.5,44.09,40.28,-3.8100000000000023,-8.641415286913134,16918.0,1.0,3.0,84.0,98.0,17.0,18.0,0.0,1.0,1.0,4.0,1.0,84.0,23.643456673365648,496.5125901406786,1190.4761904761904
1005.0,JESUS MARIA,1.0,AGUASCALIENTES,264.53,248.1,-16.42999999999998,-6.211015763807504,583.94,554.91,-29.030000000000086,-4.97140117135324,130184.0,7.0,29.0,212.0,391.0,63.0,200.0,36.0,0.0,10.0,19.0,7.0,204.0,14.594727462668224,156.7012843360167,3431.372549019608
1006.0,PABELLON DE ARTEAGA,1.0,AGUASCALIENTES,716.77,798.39,81.62,11.387195334626178,144.69,134.39,-10.300000000000011,-7.118667496025999,50032.0,11.0,27.0,203.0,429.0,37.0,53.0,11.0,2.0,4.0,13.0,10.0,200.0,25.983370642788614,399.7441637352095,5000.0
1007.0,RINCON DE ROMOS,1.0,AGUASCALIENTES,1061.29,1190.68,129.3900000000001,12.191766623637278,180.83,180.53,-0.30000000000001137,-0.1659016756069276,57981.0,9.0,16.0,374.0,517.0,80.0,82.0,2.0,1.0,9.0,13.0,8.0,371.0,22.421137958986566,639.8647832910782,2156.33423180593
1008.0,SAN JOSE DE GRACIA,1.0,AGUASCALIENTES,0.12,0.06,-0.06,-50.0,21.8,22.09,0.28999999999999915,1.3302752293578024,9661.0,1.0,1.0,55.0,71.0,6.0,19.0,0.0,1.0,1.0,1.0,1.0,55.0,10.350895352447987,569.2992443846393,1818.181818181818
1009.0,TEPEZALA,1.0,AGUASCALIENTES,147.35,104.06,-43.28999999999999,-29.379029521547327,47.68,44.26,-3.4200000000000017,-7.172818791946312,22743.0,3.0,4.0,140.0,181.0,22.0,36.0,2.0,0.0,2.0,3.0,2.0,138.0,13.19087191663369,606.7801081651497,1449.2753623188405
1010.0,EL LLANO,1.0,AGUASCALIENTES,0.19,0.23,0.04000000000000001,21.052631578947366,34.67,34.54,-0.13000000000000256,-0.3749639457744536,21947.0,2.0,6.0,18.0,29.0,4.0,26.0,0.0,0.0,1.0,1.0,2.0,18.0,4.556431402925229,82.01576525265412,11111.111111111111
